"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.146840542E0,-3.497837294E-2,2.960982498E-2,-1.183417976E-2,4.733155522E-2
1.156773542E0,-3.811258103E-2,3.109794136E-2,-1.378188729E-2,5.108415808E-2
1.166706542E0,-3.292809245E-2,2.530928009E-2,6.413226128E-3,4.202318884E-2
1.176639542E0,-3.167868865E-2,3.109446044E-2,4.034578800E-4,4.439107526E-2
1.186572541E0,-3.328965138E-2,2.358372107E-2,-1.190259218E-2,4.249781746E-2
1.196505541E0,-3.341364889E-2,2.950304934E-2,-6.406794190E-3,4.503275324E-2
1.206438541E0,-2.677933406E-2,2.610710526E-2,7.291477919E-4,3.740648786E-2
1.216371542E0,-3.114052554E-2,2.520564733E-2,4.118193984E-3,4.027426610E-2
1.226304542E0,-3.551952361E-2,2.704804103E-2,-6.268799901E-3,4.508359938E-2
1.236237542E0,-3.240613709E-2,2.674161952E-2,4.146845341E-3,4.221928780E-2
1.246170542E0,-3.589444891E-2,1.918821375E-2,2.734742761E-3,4.079311004E-2
1.256103542E0,-3.383453879E-2,2.619389987E-2,1.869004011E-2,4.669276180E-2
1.266036542E0,-3.174719243E-2,1.461257564E-2,8.901801109E-3,3.606457621E-2
1.275969542E0,-3.743448674E-2,2.228007521E-2,1.004376233E-2,4.470592478E-2
1.285902542E0,-2.586674815E-2,1.690162352E-2,1.522965789E-2,3.444845449E-2
1.295836542E0,-2.983264044E-2,1.522547347E-2,2.146746755E-2,3.978257962E-2
1.305769542E0,-3.556175147E-2,1.444518995E-2,1.842808485E-2,4.257811635E-2
1.315702542E0,-3.373608629E-2,7.850416917E-3,2.766902447E-2,4.433201416E-2
1.325635542E0,-2.973301850E-2,7.468630280E-3,3.317183912E-2,4.516861452E-2
1.335568542E0,-3.280526438E-2,1.065396039E-2,2.925186574E-2,4.522569947E-2
1.345501542E0,-3.339793450E-2,1.167220732E-2,2.354147494E-2,4.249545264E-2
1.355434542E0,-3.586099187E-2,1.397046000E-3,3.684389055E-2,5.143378993E-2
1.365367542E0,-2.860568446E-2,-6.809265353E-5,4.595794559E-2,5.413337771E-2
1.375300542E0,-2.684188100E-2,-6.456573182E-3,3.861091912E-2,4.746553474E-2
1.385233541E0,-3.033421277E-2,-7.552240896E-3,4.099658310E-2,5.155502530E-2
1.395166541E0,-3.562276351E-2,-6.819575639E-3,4.443299174E-2,5.735659201E-2
1.405099541E0,-3.010818134E-2,-7.616427792E-3,4.802259743E-2,5.718988040E-2
1.415032542E0,-3.327448516E-2,-5.283005023E-3,3.919037819E-2,5.168159486E-2
1.424965542E0,-2.866856030E-2,-1.187842674E-2,3.530314922E-2,4.700314582E-2
1.434898542E0,-3.107825269E-2,-1.480952631E-2,4.174736559E-2,5.411120396E-2
1.444831542E0,-2.936130918E-2,-1.437375342E-2,4.070890009E-2,5.221020792E-2
1.454764542E0,-3.082312223E-2,-1.566712098E-2,4.475868165E-2,5.655849297E-2
1.464697542E0,-3.067968272E-2,-1.253159727E-2,4.911310315E-2,5.924846633E-2
1.474630542E0,-2.589953824E-2,-1.164605016E-2,4.299282253E-2,5.152474507E-2
1.484563542E0,-2.863664730E-2,-8.509480348E-3,3.283387005E-2,4.439067297E-2
1.494497542E0,-2.709201392E-2,-4.996541706E-3,3.210998476E-2,4.230831795E-2
1.504430542E0,-2.950320465E-2,-4.212736152E-3,3.333497643E-2,4.471472783E-2
1.514363542E0,-2.795772160E-2,-1.089290595E-3,2.977460682E-2,4.085765489E-2
1.524296542E0,-2.634341500E-2,-1.110891032E-2,3.250467181E-2,4.328899504E-2
1.534229542E0,-2.696239759E-2,-4.936785903E-3,4.286944628E-2,5.088351563E-2
1.544162542E0,-3.216581653E-2,-9.036351023E-3,3.303150594E-2,4.698271786E-2
1.554095542E0,-2.839447207E-2,-9.474316612E-5,2.214574456E-2,3.600956849E-2
1.564028542E0,-2.774307397E-2,-5.588759584E-3,1.919523954E-2,3.419604668E-2
1.573961542E0,-3.143444862E-2,4.200137230E-3,1.998695254E-2,3.748658407E-2
1.583894541E0,-2.603213299E-2,5.583433136E-3,1.060100198E-2,2.865707446E-2
1.593827541E0,-3.085860752E-2,5.545919593E-3,1.768314958E-2,3.599589783E-2
1.603760541E0,-3.915484722E-2,8.739613965E-3,1.144241631E-2,4.171824306E-2
1.613693542E0,-3.835313913E-2,3.662476614E-3,1.223354459E-2,4.042321894E-2
1.623626542E0,-3.363436301E-2,1.737751379E-2,5.986379385E-3,3.832864593E-2
1.633559542E0,-1.956741482E-2,9.730177978E-3,4.228706360E-3,2.225852744E-2
1.643492542E0,-3.119318702E-2,1.279072029E-2,-8.291351795E-4,3.372395154E-2
1.653429708E0,-2.923148272E-2,1.044739380E-2,1.593366265E-3,3.108321790E-2
1.663362708E0,-3.358520072E-2,1.567519745E-3,-3.391385078E-5,3.362177829E-2
1.673295708E0,-3.089182701E-2,1.108189892E-2,-2.863381505E-3,3.294408010E-2
1.683228708E0,-2.112446439E-2,2.022892677E-2,1.635466218E-3,2.929380863E-2
1.693161708E0,-2.378704886E-2,1.198073474E-2,-1.357138753E-3,2.666839935E-2
1.703095709E0,-2.819412271E-2,1.120927686E-2,-7.624769211E-4,3.035025229E-2
1.713028708E0,-2.732573809E-2,2.168333944E-2,-1.223237514E-3,3.490500654E-2
1.722961708E0,-2.804493648E-2,2.512145656E-2,1.088576138E-2,3.919318618E-2
1.732894708E0,-2.780356525E-2,1.950615610E-2,4.577200413E-3,3.427067449E-2
1.742827708E0,-3.334273313E-2,1.380322049E-2,1.113660693E-2,3.776626488E-2
1.752760708E0,-2.093854121E-2,1.647399106E-2,9.909276366E-3,2.842549292E-2
1.762693708E0,-3.201161449E-2,1.391988158E-2,5.982871056E-3,3.541611655E-2
1.772626708E0,-2.845254223E-2,1.346412767E-2,1.867132902E-2,3.659847566E-2
1.782559708E0,-2.558042645E-2,1.402681254E-2,1.579274476E-2,3.317409342E-2
1.792492708E0,-3.125798148E-2,1.280059660E-2,8.419990540E-3,3.481110340E-2
1.802425708E0,-3.417015069E-2,1.256846214E-2,1.167805910E-2,3.823535672E-2
1.812358708E0,-3.367288155E-2,1.646863720E-2,1.882920384E-2,4.194779947E-2
1.822291708E0,-2.534972638E-2,4.269180056E-3,1.834563911E-2,3.158159274E-2
1.832224709E0,-2.647869581E-2,6.154651288E-4,1.636752605E-2,3.113512548E-2
1.842157708E0,-2.574427639E-2,7.344422629E-3,2.217615008E-2,3.476334195E-2
1.852090708E0,-2.273431250E-2,3.256533667E-3,2.244863033E-2,3.211533871E-2
1.862023708E0,-2.204961268E-2,1.051609401E-2,1.583659887E-2,2.911308154E-2
1.871956708E0,-2.005960420E-2,2.720896737E-3,2.210598350E-2,2.997441419E-2
1.881890708E0,-2.366327061E-2,2.987703360E-3,2.328770578E-2,3.333457646E-2
1.891823708E0,-2.314425713E-2,7.028942504E-3,3.824195981E-2,4.524942167E-2
1.901756709E0,-2.989680449E-2,9.667366091E-4,3.268944383E-2,4.430974200E-2
1.911689708E0,-2.551559544E-2,2.811766122E-3,3.133288980E-2,4.050557520E-2
1.921622708E0,-2.608020807E-2,4.955241177E-4,3.312330723E-2,4.216131258E-2
1.931555708E0,-1.861680374E-2,-4.966328046E-3,3.371679962E-2,3.883390750E-2
1.941488708E0,-2.344950006E-2,-6.228518067E-4,4.149827421E-2,4.766942164E-2
1.951421708E0,-2.601599833E-2,-4.281121166E-4,3.580893338E-2,4.426392616E-2
1.961354708E0,-2.498872477E-2,-1.359343793E-2,3.521076322E-2,4.526605534E-2
1.971287708E0,-2.621790086E-2,-4.080397217E-3,3.042540193E-2,4.036995231E-2
1.981220708E0,-2.474682363E-2,-8.001444102E-3,3.357705116E-2,4.247171709E-2
1.991153708E0,-2.741468886E-2,-1.462568162E-2,3.343788743E-2,4.564611751E-2
2.001086708E0,-1.940076917E-2,-1.217092456E-2,3.195094049E-2,3.931137046E-2
2.011019708E0,-2.233722260E-2,-5.552968229E-3,3.001668155E-2,3.782576028E-2
2.020952708E0,-2.881588273E-2,-6.307798089E-3,2.464542925E-2,3.843879027E-2
2.030885709E0,-2.590822684E-2,-3.143874267E-3,2.825666964E-2,3.846504312E-2
2.040818708E0,-2.722540352E-2,-2.498177206E-4,3.127090931E-2,4.146269136E-2
2.050751708E0,-2.591149762E-2,-6.495781504E-3,2.485651374E-2,3.648900056E-2
2.060685708E0,-1.886711938E-2,-9.050694974E-3,2.682702541E-2,3.402311811E-2
2.070618708E0,-1.662484009E-2,-7.939422503E-5,2.176626027E-2,2.738907989E-2
2.080551708E0,-2.038414294E-2,-3.460729402E-4,1.550857008E-2,2.561540153E-2
2.090484708E0,-2.471870217E-2,3.873862596E-3,1.464084327E-2,2.898922801E-2
2.100417709E0,-3.047897704E-2,2.135247840E-3,1.497238040E-2,3.402498346E-2
2.110350708E0,-2.018493561E-2,3.364250343E-3,1.634998441E-2,2.619297227E-2
2.120283708E0,-1.714546155E-2,2.567439303E-3,1.787669241E-2,2.490250445E-2
2.130216708E0,-1.987252984E-2,-2.577324752E-3,1.012269974E-2,2.245059231E-2
2.140149708E0,-1.718865786E-2,8.009132277E-3,1.913150489E-2,2.693716092E-2
2.150082708E0,-2.372686822E-2,6.990035679E-3,4.039256573E-3,2.506273066E-2
2.160015708E0,-2.227763582E-2,6.776018450E-3,1.109801531E-2,2.579483335E-2
2.169948708E0,-2.385967311E-2,4.752507247E-3,1.516007602E-2,2.866527919E-2
2.179881708E0,-2.220836459E-2,1.212854139E-2,9.789993167E-3,2.713221222E-2
2.189814708E0,-1.657139288E-2,3.279292127E-3,5.227410793E-4,1.690083066E-2
2.199747708E0,-2.199859573E-2,7.600530675E-3,7.867428660E-3,2.456832746E-2
2.209680708E0,-3.072302520E-2,4.031682601E-3,4.880670905E-3,3.136845056E-2
2.219613708E0,-2.673204470E-2,6.441137446E-3,5.332660675E-3,2.800942226E-2
2.229547708E0,-2.859065529E-2,6.199062718E-3,9.905183315E-4,2.927174534E-2
2.239480708E0,-2.234327082E-2,1.463602846E-2,6.522569060E-3,2.749507205E-2
2.249413708E0,-2.461685099E-2,1.893086317E-2,1.310302556E-2,3.370543297E-2
2.259346708E0,-2.578605657E-2,1.334095242E-2,1.354098201E-2,3.203529177E-2
2.269279708E0,-2.222088128E-2,1.706009220E-2,1.367780685E-2,3.117525800E-2
2.279212708E0,-2.523804456E-2,1.276846432E-2,5.429724455E-3,2.880059864E-2
2.289145708E0,-2.159268932E-2,1.207499368E-2,2.022902727E-2,3.195720966E-2
2.299078709E0,-2.186865963E-2,1.123516906E-2,1.661544800E-2,2.967390116E-2
2.309011708E0,-1.911686858E-2,6.524478542E-3,1.405085921E-2,2.460589623E-2
2.318944708E0,-2.124757569E-2,7.951902654E-3,1.358132780E-2,2.644134439E-2
2.328877708E0,-2.015886068E-2,7.696214877E-3,1.550447702E-2,2.657066419E-2
2.338810708E0,-1.413160561E-2,3.735457174E-3,1.473381400E-2,2.075430539E-2
2.348743708E0,-1.969192397E-2,3.660987401E-3,1.591085851E-2,2.557987719E-2
2.358676708E0,-2.101856584E-2,9.001916405E-3,8.853269219E-3,2.451927782E-2
2.368609708E0,-2.318614695E-2,-1.769193867E-3,1.901280642E-2,3.003688175E-2
2.378542708E0,-1.824316666E-2,3.960026801E-4,2.707904041E-2,3.265339764E-2
2.388476708E0,-1.728868179E-2,4.833363276E-3,1.912975073E-2,2.623370507E-2
2.398409708E0,-1.673617473E-2,1.159658181E-3,2.240711510E-2,2.799148368E-2
2.408342708E0,-1.509292440E-2,1.097805602E-3,2.463899732E-2,2.891507795E-2
2.418275708E0,-2.073663868E-2,4.583193809E-3,2.163235903E-2,3.031456426E-2
2.428208708E0,-2.042405019E-2,4.909203490E-3,1.817782402E-2,2.777904590E-2
2.438141708E0,-1.598674441E-2,1.392614907E-3,3.328644454E-2,3.695270983E-2
2.448074708E0,-1.391776197E-2,-5.886227544E-4,3.088440835E-2,3.388063244E-2
2.458007708E0,-2.206490681E-2,-7.179289036E-3,2.833268344E-2,3.662162277E-2
2.467940708E0,-2.162917960E-2,-6.433581747E-4,3.147556186E-2,3.819615575E-2
2.477873708E0,-1.565634018E-2,-8.860815782E-5,2.653466463E-2,3.080936978E-2
2.487806708E0,-1.813016921E-2,6.041544210E-4,2.608501375E-2,3.177256648E-2
2.497739709E0,-2.023774328E-2,-3.516095225E-5,2.893377721E-2,3.530907749E-2
2.507672708E0,-2.127355926E-2,-1.320055529E-2,2.519857585E-2,3.552164422E-2
2.517605708E0,-2.000893442E-2,-2.164853937E-3,3.373784959E-2,3.928468588E-2
2.527538708E0,-2.116880273E-2,-1.536173187E-3,3.404599786E-2,4.011992033E-2
2.537472708E0,-1.709943300E-2,-7.599041462E-3,2.507519960E-2,3.128740442E-2
2.547405708E0,-2.085298000E-2,-3.344625626E-3,2.403848827E-2,3.199815954E-2
2.557338708E0,-2.738247436E-2,-9.412189946E-4,2.599905968E-2,3.777084721E-2
2.567271709E0,-1.896816658E-2,-1.022890893E-2,2.945651829E-2,3.649806010E-2
2.577204708E0,-2.300857432E-2,3.787214169E-3,3.111888170E-2,3.888601653E-2
2.587137708E0,-1.673644882E-2,-1.870560832E-3,1.571731567E-2,2.303566211E-2
2.597070708E0,-2.412679950E-2,-8.797939941E-3,1.229377091E-2,2.847179314E-2
2.607003708E0,-1.664380699E-2,-5.130685056E-3,2.099442780E-2,2.727831078E-2
