"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.857517919E-1,-1.599778788E-2,8.654701430E-3,1.963845849E-2,2.676755734E-2
9.956847918E-1,-1.569797875E-2,1.140906434E-2,1.590501130E-2,2.509108747E-2
1.005617792E0,-1.849218495E-3,2.971020523E-3,4.087203741E-3,5.380688284E-3
1.015551792E0,-7.978845527E-3,-5.043753404E-3,5.142041445E-3,1.074904715E-2
1.025484791E0,-4.174523684E-3,-2.132858704E-3,2.155283689E-3,5.159552502E-3
1.035417792E0,-6.217111428E-3,8.272138210E-3,-3.835773468E-4,1.035508941E-2
1.045351792E0,-3.633235968E-3,-2.661328227E-3,-8.162128329E-3,9.322199869E-3
1.055284792E0,3.132417379E-4,-2.316347072E-3,1.719666123E-3,2.901867626E-3
1.065222042E0,-1.820133165E-3,-1.710662325E-3,-3.369165659E-3,4.194106289E-3
1.075156042E0,-3.835526789E-3,3.718006890E-5,1.569977403E-3,4.144572010E-3
1.085089042E0,8.223332232E-4,4.983613878E-3,5.608064532E-3,7.547385442E-3
1.095023042E0,-5.296599800E-3,5.399232139E-3,3.636968136E-4,7.572182810E-3
1.104956042E0,-5.203108303E-6,6.682426454E-3,-1.101966262E-2,1.288750614E-2
1.114889042E0,-2.184263952E-3,6.014034888E-3,-2.945242524E-3,7.043726157E-3
1.124823042E0,-2.377464180E-3,1.285636442E-2,-1.158333421E-3,1.312555440E-2
1.134756042E0,-7.035518338E-3,3.390969378E-3,7.663945556E-3,1.094226910E-2
1.144689042E0,-1.237035345E-2,-4.712741612E-3,1.409062028E-2,1.933342075E-2
1.154623042E0,-8.804104642E-3,5.942506995E-3,2.860048592E-2,3.050923537E-2
1.164556042E0,-7.351617445E-3,2.512247069E-4,2.634696901E-2,2.735456395E-2
1.174489042E0,-1.194823016E-2,-1.365050767E-3,2.783683956E-2,3.032347612E-2
1.184423042E0,-1.314988322E-2,3.949035862E-3,3.351974845E-2,3.622275320E-2
1.194356041E0,-1.199559260E-2,5.241910061E-3,4.653798938E-2,4.834414461E-2
1.204289042E0,-7.305652848E-3,7.337342016E-4,4.279226303E-2,4.341760823E-2
1.214223042E0,-1.455650290E-2,5.621590787E-3,4.099365950E-2,4.386313006E-2
1.224156042E0,-1.280909105E-2,8.421045779E-3,4.982295513E-2,5.212785900E-2
1.234089042E0,-1.266507938E-2,-1.112222644E-3,4.637894511E-2,4.808999714E-2
1.244023042E0,-2.098196592E-2,3.200254217E-3,3.784610331E-2,4.339138229E-2
1.253956042E0,-1.946678333E-2,1.173536638E-2,4.787524760E-2,5.299730002E-2
1.263889042E0,-1.992236365E-2,3.120818879E-3,6.419131815E-2,6.728421368E-2
1.273823042E0,-2.147783950E-2,8.496369794E-3,5.251559794E-2,5.737049692E-2
1.283756042E0,-2.183883883E-2,-3.714580787E-4,4.353427470E-2,4.870632337E-2
1.293689042E0,-1.774884053E-2,5.330595877E-3,4.667832255E-2,5.022252870E-2
1.303623042E0,-2.546035296E-2,5.275723413E-3,3.814723492E-2,4.616572714E-2
1.313556042E0,-1.307638304E-2,4.422669467E-3,4.353778303E-2,4.567373807E-2
1.323490042E0,-1.582874396E-2,5.401790296E-3,4.758113265E-2,5.043503403E-2
1.333423042E0,-1.386850603E-2,-6.358737387E-3,3.920148790E-2,4.206573016E-2
1.343356042E0,-1.279365760E-2,4.304272486E-3,3.905530751E-2,4.132216694E-2
1.353290042E0,-1.086143377E-2,8.770412346E-4,3.606562614E-2,3.767584550E-2
1.363223042E0,-1.725118195E-2,2.351032938E-3,2.753804684E-2,3.258028020E-2
1.373156042E0,-1.092495600E-2,-4.914406599E-3,2.694513917E-2,2.948807523E-2
1.383090042E0,-5.206920414E-3,-4.867418739E-3,2.440627813E-2,2.542577821E-2
1.393023042E0,-4.336272287E-3,4.350858349E-3,2.291640759E-2,2.372540753E-2
1.402956042E0,-8.652526997E-3,6.761806975E-3,1.813280046E-2,2.119874311E-2
1.412890042E0,-1.212502392E-2,4.834053065E-3,7.810125947E-3,1.521125706E-2
1.422823042E0,-1.359595726E-2,1.376448269E-3,1.528462172E-3,1.375066763E-2
1.432756042E0,-2.641947905E-3,2.068237835E-3,2.431272268E-3,4.143498681E-3
1.442690042E0,-4.294809590E-3,5.425517200E-3,1.366201937E-2,1.531445068E-2
1.452623042E0,-1.166023423E-2,7.790889521E-3,4.683619738E-3,1.478496925E-2
1.462556042E0,-1.024237580E-2,9.753205958E-3,1.291883826E-2,1.915535618E-2
1.472490042E0,-5.294804522E-3,5.136577953E-3,1.157163978E-2,1.372305487E-2
1.482423042E0,-6.861113710E-3,4.017932508E-3,5.134440064E-3,9.464731257E-3
1.492356042E0,-5.272340707E-3,3.834083257E-3,7.917129993E-4,6.566930823E-3
1.502290042E0,-7.868833363E-3,5.642088018E-3,6.626064777E-3,1.173270771E-2
1.512223042E0,-6.797753647E-3,8.148597507E-3,9.616915584E-3,1.432110894E-2
1.522157042E0,-3.977139043E-3,5.748982430E-3,9.314029813E-3,1.164558222E-2
1.532090042E0,-7.489225727E-3,1.117731817E-4,1.529748559E-2,1.703273497E-2
1.542023042E0,3.699524207E-3,5.251836623E-3,1.813689351E-2,1.924097642E-2
1.551957041E0,-9.671500255E-4,6.035578223E-3,1.453968644E-2,1.577231960E-2
1.561890042E0,-1.102333769E-2,-1.118832738E-3,1.363629162E-2,1.757026493E-2
1.571823042E0,-1.166068419E-2,5.935682198E-3,2.560671151E-2,2.875600030E-2
1.581757042E0,-1.531460012E-2,-2.822309383E-3,2.784736454E-2,3.190576937E-2
1.591690042E0,-9.450489208E-3,-2.993769846E-3,2.993891358E-2,3.153748485E-2
