"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.551352417E0,-9.060278926E-3,-1.499220612E-2,4.446982920E-2,4.779561285E-2
1.561285417E0,-1.170632673E-2,-1.916292454E-2,4.772029638E-2,5.273976156E-2
1.571217417E0,-9.231127258E-3,-1.314419361E-2,3.944297791E-2,4.258793306E-2
1.581150417E0,-1.243759414E-2,-1.317068880E-2,3.715379298E-2,4.133479314E-2
1.591083417E0,-8.905601799E-3,-7.129774997E-3,2.767779529E-2,2.993666293E-2
1.601016417E0,-2.544287983E-3,-4.197515119E-3,3.272335768E-2,3.308943445E-2
1.610949417E0,-8.797172494E-3,-1.203219937E-3,2.849114299E-2,2.984264082E-2
1.620882417E0,-1.137780458E-2,-6.535067484E-3,3.309641004E-2,3.560244235E-2
1.630815417E0,-1.443218904E-2,-4.077743129E-3,2.976817489E-2,3.333257124E-2
1.640747417E0,-1.184581937E-2,6.074896180E-3,1.387251914E-2,1.922692350E-2
1.650680417E0,-9.651249703E-3,4.354316429E-3,3.815892935E-3,1.125467597E-2
1.660613417E0,-1.138803720E-2,5.794321191E-3,2.746437192E-3,1.306921829E-2
1.670546417E0,-6.533167139E-3,5.080526909E-3,1.499986231E-2,1.713154681E-2
1.680479417E0,-2.919313777E-3,1.489985894E-2,9.446761608E-3,1.788209983E-2
1.690412417E0,-5.495194998E-3,9.892803663E-3,5.392302275E-3,1.253561551E-2
1.700345417E0,-1.364065876E-2,1.521988207E-2,1.092435300E-2,2.317442276E-2
1.710277417E0,-1.312776659E-2,1.217374539E-2,-5.846046209E-3,1.883386813E-2
1.720210417E0,-5.013000704E-3,1.367963754E-2,-2.856949568E-3,1.484671075E-2
1.730143417E0,-7.422674820E-4,1.205843533E-2,4.350328445E-4,1.208908918E-2
1.740076417E0,-6.415290926E-3,1.780448159E-2,1.339012384E-4,1.892547098E-2
1.750009417E0,-1.388209395E-2,2.078098159E-2,-8.399525285E-3,2.636501002E-2
1.759942417E0,-1.545291189E-3,2.516459348E-2,1.333165169E-4,2.521234744E-2
1.769875417E0,-1.422974747E-2,2.489317304E-2,-3.145802021E-4,2.867498453E-2
1.779807417E0,-1.327045692E-2,1.590478746E-2,5.075967908E-3,2.132680804E-2
1.789740417E0,-7.578667570E-3,2.511878877E-2,8.969044089E-3,2.772784707E-2
1.799673417E0,-8.337599616E-3,2.252888794E-2,-2.855780125E-3,2.419135877E-2
1.809606417E0,-1.347728390E-2,1.860599781E-2,3.132938147E-3,2.318697128E-2
1.819539417E0,-5.447448827E-3,2.087116575E-2,1.181722283E-2,2.459526406E-2
1.829472417E0,-3.516661674E-3,1.762021435E-2,5.239689946E-3,1.871612176E-2
1.839405417E0,-8.523029443E-3,2.181127012E-2,-1.409178972E-4,2.341780077E-2
1.849337417E0,-8.857234363E-3,1.793137302E-2,1.379533589E-2,2.429600854E-2
1.859270417E0,-3.144212309E-3,1.145475256E-2,1.440870881E-2,1.867373334E-2
1.869203417E0,-5.171113070E-3,1.631579190E-2,1.727150559E-2,2.431564067E-2
1.879136417E0,-4.186825678E-3,4.743224792E-3,1.923441589E-2,2.024822079E-2
