"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.204044709E0,-4.377490589E-3,2.481116127E-2,-2.785028815E-3,2.534783093E-2
1.213976709E0,-9.938009949E-3,3.610493040E-2,6.219683290E-3,3.796069679E-2
1.223909709E0,-3.631614279E-3,2.903517159E-2,6.542449594E-3,2.998388664E-2
1.233841708E0,-5.800255202E-4,2.415080963E-2,1.300771594E-2,2.743717750E-2
1.243774708E0,-9.186286423E-3,2.410492726E-2,5.848385096E-3,2.645068968E-2
1.253706709E0,-8.138282653E-3,2.379531719E-2,1.171431184E-2,2.774299671E-2
1.263639709E0,-9.913680051E-3,1.761744149E-2,2.476939023E-2,3.197151840E-2
1.273571709E0,-1.103188695E-2,1.203223592E-2,3.154923677E-2,3.552226868E-2
1.283504709E0,-2.220032467E-3,1.184554528E-2,2.051963389E-2,2.379707676E-2
1.293436708E0,-7.575981505E-4,7.568471488E-3,3.330281675E-2,3.416040572E-2
1.303369708E0,-5.198046807E-3,3.676948473E-3,3.007690787E-2,3.074345504E-2
1.313301709E0,-1.180654253E-2,6.650257632E-3,3.045054495E-2,3.332950736E-2
1.323234709E0,-8.716097195E-3,4.544218462E-3,3.862085938E-2,3.985211477E-2
1.333167708E0,-4.493201505E-3,-3.576485999E-4,4.186489463E-2,4.210684237E-2
1.343099709E0,-6.754694385E-3,-3.318422791E-3,3.673864067E-2,3.750154056E-2
1.353032709E0,-2.552665947E-3,-2.048288779E-3,5.122862577E-2,5.133306624E-2
1.362964708E0,-5.597950676E-3,-5.052131368E-3,4.806235850E-2,4.865029689E-2
1.372897708E0,-9.692527391E-3,-6.547903949E-3,4.206486940E-2,4.366089064E-2
1.382829709E0,-4.186405409E-3,-1.054667769E-2,4.835530400E-2,4.966884160E-2
1.392762708E0,5.818052664E-3,-4.633032186E-3,4.223209977E-2,4.288198894E-2
1.402694709E0,3.024563659E-3,-5.938852485E-3,3.716314852E-2,3.775602683E-2
1.412627709E0,2.473536674E-3,-7.229269026E-3,3.315020442E-2,3.401935872E-2
1.422559708E0,2.418042943E-3,-8.236314878E-3,4.037736297E-2,4.127971965E-2
1.432492708E0,-2.633878291E-3,-7.917276174E-3,3.638429940E-2,3.732878004E-2
1.442424709E0,-7.147837412E-3,-9.145721365E-3,3.779113948E-2,3.953360624E-2
1.452357708E0,-5.824886598E-3,-1.768991042E-2,3.695849597E-2,4.138589928E-2
1.462290708E0,-4.695844073E-3,-8.596247546E-3,3.254033983E-2,3.398264468E-2
1.472222709E0,-5.967284571E-3,-2.648861781E-3,4.444760978E-2,4.492454751E-2
1.482155709E0,-2.089447696E-3,-6.082438175E-3,3.211290836E-2,3.275058365E-2
1.492087708E0,-2.156389179E-3,-1.623758996E-2,2.487230122E-2,2.978154983E-2
1.502020709E0,-2.158298660E-3,-1.979154591E-3,1.793224096E-2,1.816977083E-2
1.511952708E0,-4.722631630E-3,4.124845192E-4,1.757906914E-2,1.820706085E-2
1.521885708E0,-2.731471974E-4,-4.711065106E-3,2.067283094E-2,2.120459108E-2
1.531817709E0,-3.707189541E-3,8.885227907E-3,2.451269746E-2,2.633558175E-2
1.541750709E0,4.245626740E-4,-4.619848542E-4,9.790577888E-3,9.810662509E-3
1.551682708E0,-2.831696905E-4,8.021521065E-3,5.091170669E-3,9.504998898E-3
1.561615709E0,-1.026195483E-2,9.865367431E-3,8.319418430E-3,1.648775044E-2
1.571547708E0,-7.358666081E-3,1.074109761E-2,1.423212290E-2,1.928923188E-2
1.581480708E0,-9.515018715E-3,1.289311051E-2,5.019834638E-3,1.679186171E-2
1.591412709E0,-4.226632426E-3,2.103957927E-2,2.535352707E-3,2.160917238E-2
1.601345709E0,-5.856498107E-3,1.922833113E-2,4.825707078E-3,2.067159251E-2
1.611278709E0,-5.676449547E-3,1.828301908E-2,2.165808678E-3,1.926607364E-2
1.621210709E0,-3.739650724E-3,2.286509827E-2,3.681991696E-3,2.345964128E-2
1.631143709E0,-1.428831099E-3,2.499825390E-2,-4.243324399E-3,2.539606384E-2
1.641075708E0,-2.279646657E-3,2.378716763E-2,-1.103369594E-3,2.392161276E-2
1.651008708E0,-4.632959096E-3,2.583188413E-2,-3.214214444E-3,2.644015359E-2
1.660940709E0,-6.941467244E-4,2.423820723E-2,-6.236640215E-3,2.503733633E-2
1.670873709E0,-5.246359427E-3,1.384045081E-2,2.554063797E-3,1.502017336E-2
1.680805709E0,-6.104675867E-4,2.075259062E-2,5.199344158E-3,2.140270702E-2
1.690738709E0,1.175016258E-3,1.759059912E-2,-1.890989542E-3,1.773092445E-2
1.700670708E0,-4.718748713E-3,1.919876615E-2,-5.248460770E-3,2.045496398E-2
1.710602833E0,-7.041061772E-3,2.332083391E-2,-3.521777987E-3,2.461383280E-2
1.720534834E0,-9.554651873E-3,2.913274700E-2,9.726843238E-3,3.216550636E-2
1.730467834E0,-5.646793200E-3,1.035856180E-2,1.982673883E-2,2.307131658E-2
1.740399834E0,-5.126418415E-3,1.180309815E-2,1.585297108E-2,2.041837368E-2
1.750332834E0,-3.738179784E-3,1.842373598E-2,7.834099531E-3,2.036617665E-2
1.760265834E0,4.060160369E-5,1.327122437E-2,4.905229211E-3,1.414879212E-2
1.770197833E0,-9.103109781E-3,1.532557050E-2,1.141259551E-2,2.116570469E-2
1.780130833E0,-7.970339656E-3,1.116132969E-2,2.735269010E-2,3.059854981E-2
1.790062834E0,-4.334358238E-3,7.539984584E-3,1.905081332E-2,2.094209915E-2
1.799995834E0,-1.642263606E-3,1.119224684E-2,2.602478743E-2,2.837697975E-2
1.809927834E0,-4.589205477E-3,1.467678538E-2,3.105456233E-2,3.465335016E-2
1.819860834E0,-6.757901218E-3,9.179032221E-4,3.070372939E-2,3.145203926E-2
1.829792833E0,1.488847286E-4,-8.221587203E-3,3.664742410E-2,3.755862559E-2
1.839725833E0,5.401182733E-3,-3.214872256E-4,2.448755443E-2,2.507820669E-2
1.849657834E0,1.187331956E-3,-1.473498344E-4,3.328995287E-2,3.331144595E-2
1.859590834E0,5.769484229E-3,4.349542726E-3,2.982606232E-2,3.068875142E-2
1.869522834E0,-3.588765152E-3,-4.032897726E-3,3.924241841E-2,3.961200452E-2
1.879455834E0,-7.197557017E-3,-6.776319947E-3,3.609193861E-2,3.742126898E-2
1.889388834E0,-6.610350385E-3,-3.271937426E-3,2.756085098E-2,2.853073454E-2
1.899320833E0,3.068691865E-4,-3.559693526E-3,3.655036032E-2,3.672457524E-2
1.909253833E0,-6.133290678E-3,-1.949589606E-3,3.476929843E-2,3.535989632E-2
1.919185834E0,-1.672541220E-3,-8.168158270E-3,3.718536794E-2,3.810863147E-2
1.929118834E0,-5.798062496E-4,-1.830781493E-3,3.362324417E-2,3.367804158E-2
1.939050834E0,-1.289797101E-2,-3.668433465E-3,3.755140364E-2,3.987383824E-2
1.948983834E0,-4.561888017E-3,-7.808207329E-3,3.729704976E-2,3.837771287E-2
1.958915833E0,1.815396007E-3,-9.725692067E-3,2.537048399E-2,2.723134604E-2
1.968848833E0,-1.926438287E-3,-6.207787860E-3,2.766843975E-2,2.842165288E-2
1.978780834E0,-1.056873266E-2,-1.830763221E-3,2.742694974E-2,2.944974322E-2
1.988713834E0,1.672687400E-3,1.339377835E-3,2.868760943E-2,2.876752946E-2
1.998646833E0,-4.081831612E-3,-2.220096420E-3,2.994651496E-2,3.030485004E-2
2.008578834E0,-9.917937554E-3,-5.621915124E-4,2.417531312E-2,2.613670425E-2
2.018511834E0,-4.544382915E-3,2.183697503E-3,1.047002435E-2,1.162072978E-2
2.028443833E0,-1.047501275E-2,-2.953227628E-3,1.996590257E-2,2.273949672E-2
2.038376833E0,4.319996014E-4,3.288327903E-4,2.227496803E-2,2.228158332E-2
2.048308834E0,-1.868039221E-3,1.182211988E-2,1.425609648E-2,1.861419823E-2
2.058241833E0,-1.938973255E-3,1.146092640E-2,1.581204057E-2,1.962480772E-2
2.068173834E0,-1.355274953E-4,-1.256073285E-3,1.332112670E-2,1.338090073E-2
2.078106834E0,7.186611760E-3,3.229983654E-3,1.277382731E-2,1.500835925E-2
2.088038833E0,3.112673890E-3,1.136523306E-2,3.683161139E-3,1.234596846E-2
2.097971833E0,-2.094216831E-3,1.055120928E-2,-3.239357471E-4,1.076190949E-2
2.107903834E0,3.394363504E-3,6.806268655E-3,6.057715416E-4,7.629807059E-3
2.117836833E0,-6.430658139E-3,7.804918271E-3,-4.204148054E-4,1.012160372E-2
2.127769833E0,4.368619267E-3,1.719731905E-2,1.126992345E-2,2.102008067E-2
2.137701834E0,-5.440834165E-3,1.004794674E-2,1.217156410E-2,1.669463635E-2
2.147634834E0,-4.318589028E-3,9.910171721E-3,6.475206614E-3,1.260119103E-2
2.157566833E0,-9.216308221E-4,1.607231475E-2,-4.313490987E-3,1.666658062E-2
2.167499834E0,3.274879307E-3,1.325593024E-2,2.851102352E-3,1.394895357E-2
2.177431833E0,5.493605286E-3,1.192954419E-2,1.300303817E-2,1.848168621E-2
2.187364833E0,1.275899000E-3,1.235332115E-2,1.371522903E-2,1.850243144E-2
2.197296834E0,2.299033832E-3,2.021510359E-2,5.144380331E-3,2.098572416E-2
2.207229834E0,-8.949931003E-3,9.787361920E-3,6.447724700E-3,1.474675802E-2
2.217161833E0,1.759080011E-3,1.068810722E-2,2.955182791E-3,1.122778267E-2
2.227094834E0,-1.558959056E-3,1.084960001E-2,1.308256030E-2,1.706744145E-2
2.237027834E0,-1.661961414E-3,1.589238496E-2,8.091961741E-3,1.791116580E-2
2.246959833E0,-9.712042473E-4,1.213176649E-2,1.043143272E-2,1.602927898E-2
2.256892833E0,-6.139466800E-3,3.961671330E-3,2.504888713E-2,2.609280818E-2
2.266824834E0,-1.998468675E-3,8.551826980E-3,1.616287351E-2,1.839473027E-2
2.276757834E0,-2.074847929E-3,5.837220568E-3,9.525114298E-3,1.136247950E-2
2.286689834E0,-2.665398438E-3,5.089708865E-3,1.037646890E-2,1.186088496E-2
2.296622834E0,2.670094483E-3,1.759299282E-3,3.068794191E-2,3.085408104E-2
2.306554833E0,-4.964103363E-4,4.958621599E-4,3.214272916E-2,3.215038632E-2
2.316487833E0,-4.667174444E-4,7.684812807E-3,2.821164608E-2,2.924330945E-2
2.326420833E0,-2.222362217E-3,1.124571232E-2,2.308714628E-2,2.577637024E-2
2.336352834E0,-3.812969327E-3,1.016629804E-3,3.144398689E-2,3.169063873E-2
2.346285834E0,5.105496347E-3,-6.342474818E-3,3.291806996E-2,3.391006354E-2
2.356217834E0,-2.652004659E-3,-2.986922208E-3,2.451620579E-2,2.483946817E-2
2.366150834E0,-3.285879381E-3,2.166722305E-3,2.210598350E-2,2.245364548E-2
2.376082833E0,2.602321599E-3,-1.654506214E-3,3.152760208E-2,3.167805488E-2
