"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.024068458E0,-4.834315276E-1,-1.991275138E-1,1.465975901E0,1.556419979E0
2.034000458E0,-4.891973573E-1,-2.611851829E-1,1.480220304E0,1.580690957E0
2.043933458E0,-5.970914230E-1,-2.415829772E-1,1.449700177E0,1.586351507E0
2.053865458E0,-6.366590197E-1,-3.298572224E-1,1.349479485E0,1.528147694E0
2.063797458E0,-6.912172694E-1,-3.315733802E-1,1.084107696E0,1.327784514E0
2.073729458E0,-7.488825101E-1,-2.335874945E-1,8.020596474E-1,1.121912568E0
2.083661458E0,-7.508592345E-1,-2.404211354E-1,4.991674447E-1,9.331452460E-1
2.093593458E0,-7.428173395E-1,-2.555847198E-1,3.149374670E-1,8.463372596E-1
2.103526458E0,-7.494341218E-1,-2.832379568E-1,2.174614584E-1,8.301594600E-1
2.113458458E0,-7.405423341E-1,-3.203905803E-1,1.824436533E-1,8.272477012E-1
2.123390458E0,-7.501235086E-1,-3.155321288E-1,1.744119179E-1,8.322651738E-1
2.133322458E0,-7.729734041E-1,-2.685842496E-1,6.900006831E-2,8.212103214E-1
2.143254208E0,-8.086313331E-1,-1.947543812E-1,-1.159970641E-2,8.318343916E-1
2.153186208E0,-7.727220469E-1,-1.106240577E-1,-6.606593549E-2,7.833911869E-1
2.163119208E0,-6.273275945E-1,-9.747659326E-2,-6.907783628E-2,6.386026499E-1
2.173051208E0,-4.195024205E-1,-1.194562769E-1,-1.760362744E-2,4.365340429E-1
2.182983208E0,-2.259260157E-1,-1.628274143E-1,-4.754604936E-2,2.825171822E-1
2.192915208E0,-1.503698482E-1,-3.015327251E-1,-2.552572757E-1,4.227166336E-1
2.202847208E0,-1.684302346E-1,-3.847976607E-1,-3.829440933E-1,5.684049281E-1
2.212780208E0,-2.317259420E-1,-4.230361122E-1,-4.887710953E-1,6.866976394E-1
2.222712208E0,-2.436971294E-1,-5.309926701E-1,-6.323149770E-1,8.609086692E-1
2.232644208E0,-2.002869984E-1,-5.602170539E-1,-7.669272369E-1,9.706366034E-1
